"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","deposit"
32,"technician","married","secondary","no",901,"yes","no","unknown",21,"may",102,3,999,0,"unknown","no"
51,"blue-collar","married","secondary","no",-92,"yes","no","unknown",4,"jun",28,4,999,0,"unknown","no"
38,"management","divorced","tertiary","no",4335,"yes","no","cellular",20,"nov",640,1,999,0,"unknown","no"
43,"admin.","married","secondary","no",388,"yes","no","cellular",19,"nov",111,2,999,0,"unknown","no"
54,"housemaid","married","primary","no",127,"no","no","cellular",19,"aug",176,4,999,0,"unknown","no"
35,"admin.","single","primary","no",8,"yes","no","unknown",16,"may",148,18,999,0,"unknown","no"
37,"technician","single","secondary","no",-59,"yes","no","cellular",22,"jul",70,1,999,0,"unknown","no"
54,"entrepreneur","married","tertiary","no",84,"no","no","cellular",29,"jul",34,2,999,0,"unknown","no"
32,"management","married","secondary","no",0,"no","no","cellular",20,"aug",162,4,999,0,"unknown","no"
59,"management","married","unknown","no",3534,"no","no","cellular",21,"nov",216,4,999,0,"unknown","no"
59,"retired","married","secondary","no",1887,"no","no","cellular",28,"aug",88,8,999,0,"unknown","no"
25,"blue-collar","single","secondary","no",192,"no","no","telephone",4,"jul",112,2,999,0,"unknown","no"
42,"unknown","married","unknown","no",222,"no","no","cellular",26,"aug",80,16,999,0,"unknown","no"
43,"management","single","secondary","no",109,"yes","no","unknown",27,"may",64,3,999,0,"unknown","no"
60,"admin.","married","unknown","no",738,"no","no","unknown",19,"may",529,3,999,0,"unknown","no"
34,"management","single","tertiary","no",747,"no","no","cellular",31,"aug",72,2,98,1,"failure","no"
44,"management","married","tertiary","no",445,"no","yes","telephone",6,"feb",135,2,9,7,"other","no"
26,"management","single","tertiary","no",1720,"no","no","cellular",3,"feb",383,1,999,0,"unknown","no"
35,"management","single","tertiary","no",304,"yes","no","cellular",19,"nov",274,2,999,0,"unknown","no"
45,"services","married","unknown","no",8319,"no","no","cellular",15,"jun",75,2,999,0,"unknown","no"
49,"technician","married","primary","no",486,"no","no","telephone",7,"jul",229,5,999,0,"unknown","no"
37,"blue-collar","married","secondary","no",342,"yes","no","cellular",12,"may",340,2,175,1,"failure","no"
54,"retired","married","secondary","no",-152,"yes","yes","unknown",26,"may",14,11,999,0,"unknown","no"
36,"management","divorced","tertiary","no",649,"no","no","cellular",16,"jul",237,2,91,1,"failure","no"
30,"blue-collar","married","secondary","no",631,"yes","no","cellular",19,"nov",174,2,999,0,"unknown","no"
